voltage,current,power,energy,timestamp,date
246.7,0.357,57.6,0.000183,18:05:2025 12:43:49.79,2025-05-18
247.0,0.356,57.8,0.000183,18:05:2025 12:43:55.25,2025-05-18
247.1,0.352,57.4,0.000183,18:05:2025 12:44:00.35,2025-05-18
247.1,0.355,58.0,0.000184,18:05:2025 12:44:07.62,2025-05-18
247.4,0.351,57.6,0.000184,18:05:2025 12:44:13.52,2025-05-18
247.2,0.35,57.7,0.000184,18:05:2025 12:44:18.87,2025-05-18
247.3,0.351,57.6,0.000184,18:05:2025 12:44:23.98,2025-05-18
247.5,0.349,57.5,0.000184,18:05:2025 12:44:29.07,2025-05-18
246.9,0.352,57.9,0.000184,18:05:2025 12:44:34.17,2025-05-18
247.1,0.354,57.8,0.000184,18:05:2025 12:44:39.62,2025-05-18
247.0,0.352,57.5,0.000184,18:05:2025 12:44:44.72,2025-05-18
246.8,0.359,58.9,0.000184,18:05:2025 12:44:49.83,2025-05-18
247.0,0.35,57.3,0.000184,18:05:2025 12:44:54.96,2025-05-18
246.7,0.351,57.2,0.000184,18:05:2025 12:45:00.68,2025-05-18
246.8,0.351,57.4,0.000184,18:05:2025 12:45:05.81,2025-05-18
246.9,0.355,58.0,0.000185,18:05:2025 12:45:10.93,2025-05-18
247.0,0.352,57.6,0.000185,18:05:2025 12:45:16.04,2025-05-18
247.0,0.353,57.6,0.000185,18:05:2025 12:45:21.39,2025-05-18
247.1,0.351,57.5,0.000185,18:05:2025 12:45:26.54,2025-05-18
247.6,0.354,58.0,0.000185,18:05:2025 12:45:31.64,2025-05-18
247.6,0.355,58.5,0.000185,18:05:2025 12:45:36.74,2025-05-18
247.4,0.351,57.4,0.000185,18:05:2025 12:45:41.85,2025-05-18
247.7,0.364,59.5,0.000185,18:05:2025 12:45:46.97,2025-05-18
247.7,0.352,57.2,0.000185,18:05:2025 12:45:52.11,2025-05-18
247.5,0.351,57.3,0.000185,18:05:2025 12:45:57.23,2025-05-18
247.7,0.354,58.0,0.000185,18:05:2025 12:46:02.37,2025-05-18
247.7,0.35,57.2,0.000186,18:05:2025 12:46:07.47,2025-05-18
247.7,0.351,57.3,0.000186,18:05:2025 12:46:12.62,2025-05-18
247.8,0.351,57.2,0.000186,18:05:2025 12:46:17.76,2025-05-18
247.7,0.352,57.6,0.000186,18:05:2025 12:46:22.87,2025-05-18
247.5,0.355,57.9,0.000186,18:05:2025 12:46:27.98,2025-05-18
247.5,0.353,57.5,0.000186,18:05:2025 12:46:33.14,2025-05-18
247.4,0.354,58.0,0.000186,18:05:2025 12:46:38.27,2025-05-18
247.3,0.353,58.0,0.000186,18:05:2025 12:46:43.37,2025-05-18
247.4,0.354,57.9,0.000186,18:05:2025 12:46:48.49,2025-05-18
247.4,0.354,58.0,0.000186,18:05:2025 12:46:53.61,2025-05-18
247.4,0.352,58.0,0.000186,18:05:2025 12:46:58.76,2025-05-18
247.1,0.35,57.2,0.000186,18:05:2025 12:47:03.91,2025-05-18
247.1,0.352,57.5,0.000186,18:05:2025 12:47:09.30,2025-05-18
247.3,0.35,57.3,0.000187,18:05:2025 12:47:14.44,2025-05-18
247.1,0.351,57.2,0.000187,18:05:2025 12:47:19.54,2025-05-18
247.5,0.353,57.7,0.000187,18:05:2025 12:47:24.70,2025-05-18
247.6,0.352,57.8,0.000187,18:05:2025 12:47:29.79,2025-05-18
246.8,0.355,57.9,0.000187,18:05:2025 12:47:34.95,2025-05-18
246.6,0.357,58.0,0.000187,18:05:2025 12:47:40.03,2025-05-18
246.7,0.358,57.9,0.000187,18:05:2025 12:47:45.17,2025-05-18
246.9,0.358,58.0,0.000187,18:05:2025 12:47:50.28,2025-05-18
246.6,0.357,57.8,0.000187,18:05:2025 12:47:55.41,2025-05-18
246.3,0.356,57.7,0.000187,18:05:2025 12:48:00.53,2025-05-18
246.4,0.358,57.8,0.000187,18:05:2025 12:48:05.82,2025-05-18
246.5,0.36,58.5,0.000188,18:05:2025 12:48:14.04,2025-05-18
246.4,0.358,58.1,0.000188,18:05:2025 12:48:19.35,2025-05-18
245.9,0.358,57.5,0.000188,18:05:2025 12:48:24.45,2025-05-18
245.7,0.358,57.6,0.000188,18:05:2025 12:48:29.58,2025-05-18
245.5,0.362,58.3,0.000188,18:05:2025 12:48:35.38,2025-05-18
245.9,0.361,58.4,0.000188,18:05:2025 12:48:40.54,2025-05-18
245.0,0.362,58.0,0.000188,18:05:2025 12:48:45.95,2025-05-18
244.6,0.363,58.1,0.000188,18:05:2025 12:48:53.25,2025-05-18
244.9,0.355,57.8,0.000188,18:05:2025 12:49:02.07,2025-05-18
245.2,0.356,57.7,0.000188,18:05:2025 12:49:07.18,2025-05-18
245.3,0.357,57.9,0.000188,18:05:2025 12:49:14.12,2025-05-18
245.5,0.356,57.3,0.000189,18:05:2025 12:49:22.40,2025-05-18
244.7,0.363,57.7,0.000189,18:05:2025 12:49:31.30,2025-05-18
244.6,0.363,57.7,0.000189,18:05:2025 12:49:36.47,2025-05-18
244.7,0.362,57.5,0.000189,18:05:2025 12:49:50.96,2025-05-18
244.1,0.362,57.4,0.000189,18:05:2025 12:50:05.50,2025-05-18
243.6,0.36,57.0,0.000189,18:05:2025 12:50:10.77,2025-05-18
243.8,0.362,57.4,0.00019,18:05:2025 12:50:16.00,2025-05-18
243.8,0.367,58.0,0.00019,18:05:2025 12:50:21.72,2025-05-18
243.7,0.367,58.0,0.00019,18:05:2025 12:50:26.82,2025-05-18
243.4,0.369,58.2,0.00019,18:05:2025 12:50:32.06,2025-05-18
243.3,0.371,58.4,0.00019,18:05:2025 12:50:37.18,2025-05-18
243.0,0.366,57.5,0.00019,18:05:2025 12:50:42.31,2025-05-18
243.1,0.366,57.5,0.00019,18:05:2025 12:50:47.42,2025-05-18
243.2,0.368,57.4,0.00019,18:05:2025 12:50:52.57,2025-05-18
242.5,0.369,57.7,0.00019,18:05:2025 12:50:57.66,2025-05-18
242.5,0.367,57.5,0.00019,18:05:2025 12:51:02.79,2025-05-18
242.5,0.367,57.4,0.00019,18:05:2025 12:51:08.16,2025-05-18
242.3,0.367,57.6,0.00019,18:05:2025 12:51:13.63,2025-05-18
242.5,0.37,58.0,0.00019,18:05:2025 12:51:18.76,2025-05-18
242.0,0.367,57.7,0.000191,18:05:2025 12:51:24.27,2025-05-18
242.3,0.369,57.8,0.000191,18:05:2025 12:51:29.87,2025-05-18
242.2,0.366,57.5,0.000191,18:05:2025 12:51:35.18,2025-05-18
242.1,0.369,57.8,0.000191,18:05:2025 12:51:40.31,2025-05-18
242.1,0.365,57.3,0.000191,18:05:2025 12:51:45.90,2025-05-18
242.3,0.37,58.0,0.000191,18:05:2025 12:51:51.04,2025-05-18
242.4,0.373,58.4,0.000191,18:05:2025 12:51:56.17,2025-05-18
242.5,0.364,56.9,0.000191,18:05:2025 12:52:01.29,2025-05-18
242.2,0.366,57.0,0.000191,18:05:2025 12:52:06.44,2025-05-18
242.1,0.365,57.2,0.000191,18:05:2025 12:52:11.53,2025-05-18
